Date,Price,Open,High,Low,Vol.,Change %
04/07/2014,"28,574","28,599","28,643","28,481",10.45K,0.09%
04/08/2014,"28,754","28,639","28,842","28,639",5.74K,0.63%
04/09/2014,"28,710","28,754","28,856","28,653",12.12K,-0.15%
04/10/2014,"29,094","28,757","29,119","28,757",13.70K,1.34%
04/11/2014,"29,085","29,090","29,162","28,973",10.53K,-0.03%
04/14/2014,"29,350","29,095","29,371","29,095",6.09K,0.91%
04/15/2014,"29,342","29,287","29,395","29,059",21.41K,-0.03%
04/16/2014,"29,290","29,280","29,320","28,900",16.58K,-0.18%
04/17/2014,"29,293","29,256","29,386","29,185",10.46K,0.01%
04/19/2014,"29,339","29,339","29,339","29,339",,0.16%
04/21/2014,"29,548","29,207","29,599","29,072",13.86K,0.71%
04/22/2014,"29,423","29,550","29,649","29,381",11.70K,-0.42%
04/23/2014,"29,752","29,480","29,775","29,433",9.86K,1.12%
04/25/2014,"29,741","29,750","29,939","29,650",10.18K,-0.04%
04/27/2014,"29,695","29,695","29,695","29,695",,-0.15%
04/28/2014,"29,824","29,895","29,900","29,756",6.68K,0.43%
04/29/2014,"29,713","29,786","29,799","29,607",6.76K,-0.37%
04/30/2014,"31,014","29,602","31,495","29,571",12.25K,4.38%
05/01/2014,"30,380","31,033","31,743","29,914",2.85K,-2.04%
05/02/2014,"30,182","30,388","30,440","30,080",0.93K,-0.65%
05/05/2014,"29,967","30,211","30,347","29,834",1.04K,-0.71%
05/06/2014,"29,109","29,187","29,231","29,081",9.33K,-2.86%
05/07/2014,"28,747","29,164","29,275","28,725",15.48K,-1.24%
05/08/2014,"28,734","28,787","28,846","28,665",9.56K,-0.05%
05/09/2014,"28,741","28,677","28,877","28,673",10.09K,0.02%
05/12/2014,"28,860","28,732","29,025","28,575",14.22K,0.41%
05/13/2014,"28,673","28,787","28,874","28,633",12.74K,-0.65%
05/14/2014,"28,911","28,769","28,960","28,769",7.41K,0.83%
05/15/2014,"28,624","28,882","28,882","28,575",14.66K,-0.99%
05/16/2014,"28,322","28,575","28,575","28,251",11.49K,-1.06%
05/19/2014,"28,336","28,275","28,475","28,233",11.59K,0.05%
05/20/2014,"28,424","28,291","28,460","28,253",15.28K,0.31%
05/21/2014,"27,501","28,445","28,540","27,432",31.58K,-3.25%
05/22/2014,"27,386","27,504","27,640","27,252",24.65K,-0.42%
05/23/2014,"27,528","27,400","27,584","27,281",13.71K,0.52%
05/26/2014,"27,586","27,544","27,620","27,421",11.50K,0.21%
05/27/2014,"27,087","27,567","27,598","27,010",19.86K,-1.81%
05/28/2014,"26,987","27,032","27,100","26,853",15.20K,-0.37%
05/29/2014,"26,984","26,945","27,083","26,661",18.00K,-0.01%
05/30/2014,"27,151","26,915","27,215","26,862",12.89K,0.62%
06/02/2014,"26,626","27,012","27,130","26,520",2.92K,-1.93%
06/03/2014,"26,732","26,756","26,874","26,592",0.45K,0.40%
06/04/2014,"26,708","26,582","26,910","26,582",0.13K,-0.09%
06/05/2014,"26,771","26,800","26,860","26,605",0.07K,0.24%
06/06/2014,"26,400","26,548","26,600","26,350",11.55K,-1.39%
06/09/2014,"26,545","26,400","26,570","26,278",8.47K,0.55%
06/10/2014,"26,712","26,585","26,738","26,475",11.67K,0.63%
06/11/2014,"26,736","26,720","26,780","26,527",13.56K,0.09%
06/12/2014,"27,014","26,740","27,050","26,640",14.16K,1.04%
06/13/2014,"27,235","27,020","27,289","26,988",10.27K,0.82%
06/16/2014,"27,395","27,255","27,644","27,255",12.66K,0.59%
06/17/2014,"27,418","27,306","27,488","27,135",13.70K,0.08%
06/18/2014,"27,353","27,351","27,538","27,230",14.47K,-0.24%
06/19/2014,"28,160","27,313","28,199","27,313",21.91K,2.95%
06/20/2014,"28,154","28,150","28,349","27,977",18.08K,-0.02%
06/23/2014,"28,111","28,245","28,267","28,035",12.31K,-0.15%
06/24/2014,"28,167","28,099","28,369","27,860",17.40K,0.20%
06/25/2014,"28,221","28,121","28,290","28,057",14.01K,0.19%
06/26/2014,"28,126","28,190","28,208","27,935",17.38K,-0.34%
06/27/2014,"28,063","28,201","28,236","28,005",9.92K,-0.22%
06/30/2014,"28,076","28,000","28,185","27,967",8.76K,0.05%
07/01/2014,"27,975","28,210","28,277","27,950",4.41K,-0.36%
07/02/2014,"27,788","27,950","28,225","27,750",2.88K,-0.67%
07/03/2014,"27,802","27,552","27,900","27,552",1.20K,0.05%
07/04/2014,"27,913","27,884","27,975","27,755",0.26K,0.40%
07/07/2014,"27,564","27,611","27,611","27,455",11.21K,-1.25%
07/08/2014,"27,594","27,582","27,725","27,460",15.21K,0.11%
07/09/2014,"27,667","27,620","27,771","27,612",11.34K,0.26%
07/10/2014,"28,565","27,650","28,649","27,560",40.70K,3.25%
07/11/2014,"28,441","28,517","28,579","28,302",15.11K,-0.43%
07/12/2014,"28,413","28,413","28,413","28,413",,-0.10%
07/13/2014,"28,413","28,413","28,413","28,413",,0.00%
07/14/2014,"27,860","28,380","28,380","27,839",21.93K,-1.95%
07/15/2014,"27,752","27,890","28,050","27,686",18.23K,-0.39%
07/16/2014,"27,767","27,800","27,825","27,671",14.01K,0.05%
07/17/2014,"28,237","27,824","28,450","27,810",24.74K,1.69%
07/18/2014,"28,028","28,227","28,233","27,960",13.87K,-0.74%
07/20/2014,"28,030","28,030","28,030","28,030",,0.01%
07/21/2014,"28,120","28,068","28,247","28,022",13.21K,0.32%
07/22/2014,"27,939","28,061","28,135","27,851",19.88K,-0.64%
07/23/2014,"27,915","27,930","28,046","27,888",11.87K,-0.09%
07/24/2014,"27,651","27,882","27,882","27,630",16.96K,-0.95%
07/25/2014,"27,973","27,696","27,994","27,673",12.81K,1.16%
07/27/2014,"27,960","27,960","27,960","27,960",,-0.05%
07/28/2014,"27,909","27,985","28,085","27,874",10.30K,-0.18%
07/29/2014,"27,855","27,950","28,067","27,827",7.44K,-0.19%
07/30/2014,"27,936","27,888","27,984","27,740",10.90K,0.29%
07/31/2014,"27,788","27,800","27,969","27,751",11.56K,-0.53%
08/01/2014,"28,037","27,810","28,124","27,761",3.30K,0.90%
08/04/2014,"27,952","28,023","28,118","27,900",1.02K,-0.30%
08/05/2014,"28,392","27,959","28,790","27,724",0.22K,1.57%
08/06/2014,"28,559","28,130","28,640","28,088",19.08K,0.59%
08/07/2014,"28,695","28,559","28,750","28,460",14.96K,0.48%
08/08/2014,"28,515","28,730","29,010","28,500",21.26K,-0.63%
08/10/2014,"28,510","28,510","28,510","28,510",,-0.02%
